1191300001,30,76,70,96
1191300011,28,5,58,57
1191300021,29,67,72,80
1191300031,23,65,68,88
1191300041,22,40,21,69
1191300051,30,95,67,29
1191300061,31,61,12,55
1191300071,28,30,62,26
1191300081,26,60,73,69
1191300091,25,31,89,28
1191300101,23,64,46,65
1191300111,22,99,44,60
1191300121,27,37,58,55
1191300131,22,53,88,38
1191300141,26,95,87,11
1191300151,22,42,81,21
1191300161,27,78,99,66
1191300171,23,38,34,30
1191300181,28,18,45,28
1191300191,22,27,79,31
1191300201,28,99,47,87
1191300211,26,91,96,41
1191300221,22,21,72,49
1191300231,27,73,86,67
1191300241,26,72,78,11
1191300251,29,10,59,33
1191300261,23,71,49,82
1191300271,23,43,78,98
1191300281,26,79,19,88
1191300291,30,88,59,37
1191300301,29,62,33,42
1191300311,26,78,77,91
1191300321,31,98,66,27
1191300331,24,90,42,70
1191300341,25,96,54,90
1191300351,26,73,82,36
1191300361,28,21,90,70
1191300371,24,90,58,76
1191300381,27,69,85,61
1191300391,23,56,47,96
1191300401,28,67,81,33
1191300411,27,91,89,96
1191300421,28,84,28,45
1191300431,24,91,20,49
1191300441,24,79,19,61
1191300451,25,46,19,93
1191300461,23,85,80,74
1191300471,29,90,52,60
1191300481,26,19,27,57
1191300491,27,88,82,56
1191300501,28,12,71,89
1191300511,23,39,10,32
1191300521,24,63,26,60
1191300531,24,44,42,56
1191300541,25,30,38,27
1191300551,28,86,62,95
1191300561,30,54,36,35
1191300571,23,82,100,37
1191300581,27,2,53,60
1191300591,23,34,57,69
1191300601,29,0,88,72
1191300611,31,17,69,52
1191300621,29,41,70,80
1191300631,26,29,51,83
1191300641,30,67,88,77
1191300651,25,47,98,35
1191300661,24,61,61,96
1191300671,29,0,9,59
1191300681,27,88,97,11
1191300691,26,68,14,40
1191300701,24,22,68,17
1191300711,24,34,60,29
1191300721,30,96,18,24
1191300731,25,38,2,59
1191300741,31,56,71,98
1191300751,27,12,58,5
1191300761,22,77,90,53
1191300771,29,0,27,70
1191300781,25,93,88,74
1191300791,28,90,23,21
1191300801,26,23,34,5
1191300811,31,57,89,11
1191300821,28,56,85,50
1191300831,31,81,70,58
1191300841,30,36,19,62
1191300851,31,14,7,6
1191300861,28,26,10,39
1191300871,30,39,43,27
1191300881,27,45,78,13
1191300891,26,40,8,51
1191300901,26,44,96,62
1191300911,25,20,51,12
1191300921,28,2,98,59
1191300931,24,30,64,49
1191300941,25,73,64,28
1191300951,29,0,28,27
1191300961,30,41,30,22
1191300971,29,18,42,87
1191300981,27,32,66,67
1191300991,22,11,85,24
